Episode,Score,Average_Score,Loss,Steps,Time,Epsilon
1,-349.586780556417,-349.586780556417,23.438751474465473,101,1.984845,0.99
2,-321.7355389406988,-335.6611597485579,19.326399031331984,118,1.424295299999999,0.9801
3,-84.76141041240709,-252.02790996984095,18.940182758780086,85,1.0289745999999997,0.9702989999999999
4,-89.23426899535806,-211.32949972622023,22.827903250117362,81,0.9754483,0.96059601
5,-187.2068418910129,-206.50496815917876,23.71622658870658,98,1.1995240999999996,0.9509900498999999
6,-178.39827681144885,-201.82051960122376,21.43803025163137,130,1.8014930000000007,0.9414801494009999
7,-79.3915877533034,-184.330672194378,20.37003788561888,71,1.0562673,0.9320653479069899
8,-108.96701475803489,-174.9102150148351,18.644109931859102,99,1.3868203000000001,0.92274469442792
9,-371.3721401988185,-196.73931781305546,13.20924184989121,118,1.6538367999999988,0.9135172474836407
10,-176.59719644079075,-194.72510567582898,9.598220847634709,85,1.2140422000000015,0.9043820750088043
11,-136.99273895456773,-189.4767087011689,8.412895800653567,121,1.696651899999999,0.8953382542587163
12,-126.48473848153338,-184.2273778495326,9.138143853165886,110,1.596275600000002,0.8863848717161291
13,-189.23742570074347,-184.6127661457796,8.45017984676361,125,1.8164129999999972,0.8775210229989678
14,-61.124529400623516,-175.79217780683987,7.273722136186229,108,1.5453729999999979,0.8687458127689781
15,-190.421835049107,-176.76748828965768,10.524840805393,104,1.4832210000000003,0.8600583546412883
16,-451.08925376558705,-193.91259863190328,9.544552338905023,122,1.6946174999999997,0.8514577710948754
17,-113.48012585072223,-189.1812767035985,8.137349306282244,95,1.3463357999999985,0.8429431933839266
18,-104.60137793153417,-184.48239343848383,7.399945876626081,86,1.2242661999999989,0.8345137614500874
19,-91.18669155135422,-179.5720933391612,8.41285678580567,91,1.2905550000000012,0.8261686238355865
20,-84.10895684556829,-174.79893651448157,8.439220718091184,110,1.552531099999996,0.8179069375972307
21,-178.39545644026637,-174.97019936809036,7.067126502851387,77,1.0903351000000043,0.8097278682212583
22,-208.32207097243992,-176.48619353192444,4.944190241636768,93,1.3780684000000036,0.8016305895390458
23,-307.99138069011224,-182.20381036488914,6.725648218092799,119,1.7695992000000018,0.7936142836436553
24,-52.081001224603554,-176.78202665071058,6.608774687500968,69,1.0379930000000002,0.7856781408072188
25,-80.64507706925677,-172.9365486674524,5.687565492356525,102,1.5343032999999977,0.7778213593991465
26,-89.79297070469484,-169.7387187458079,5.253447716434796,72,1.073227700000004,0.7700431458051551
27,-77.36452948917997,-166.3174524770439,5.618020179572406,111,1.655155999999998,0.7623427143471035
28,-213.8232517695812,-168.01408816606312,6.053365638285327,163,2.434843799999996,0.7547192872036325
29,-205.88244036728474,-169.31989341438108,4.7319729502423336,118,1.7360179000000002,0.7471720943315961
30,-169.28079695135054,-169.31859019894674,5.179214349613999,106,1.558131699999997,0.7397003733882802
31,-187.1291043188717,-169.89312291249271,4.959579049063123,121,1.7849555000000024,0.7323033696543974
32,-61.984164259536534,-166.5209679545878,4.4610596279422925,83,1.2298167000000007,0.7249803359578534
33,-111.77575917672546,-164.86202223404652,4.113198449287345,136,1.9846726000000032,0.7177305325982748
34,-76.31743627671815,-162.2577697058898,5.05537954858034,101,1.5715356999999983,0.7105532272722921
35,-21.15738910733394,-158.2263302602168,3.692348483341192,153,2.211344199999999,0.7034476949995692
36,-72.89733089561597,-155.85608027786677,5.847374129295349,85,1.215783199999997,0.6964132180495735
37,-41.000018437187194,-152.75186239028085,6.0441140167853415,85,1.2393592000000027,0.6894490858690777
38,-82.29680688533122,-150.89778198225585,4.533940058789756,152,2.2127899999999983,0.682554595010387
39,-39.25449268371868,-148.03513353870363,3.785348233741683,74,1.103089599999997,0.6757290490602831
40,-5.908641988198525,-144.48197124994098,5.272146690817713,103,1.5131167999999988,0.6689717585696803
41,-75.077022978098,-142.78916763355457,4.816403013169765,100,1.495529199999993,0.6622820409839835
42,-200.66932702514518,-144.16726666668768,5.896436238382745,127,1.8819561000000107,0.6556592205741436
43,-12.4211844149104,-141.1034042887394,5.981216736461805,115,1.6857873999999953,0.6491026283684022
44,-12.085928399941011,-138.1711889276303,4.540753451712204,132,1.957100799999992,0.6426116020847181
45,-95.06842416410383,-137.21334971066307,4.6732493926649505,115,1.706779400000002,0.6361854860638709
46,-114.61099201717532,-136.72199410863072,6.06977155736123,87,1.2847194000000002,0.6298236312032323
47,-73.33127907889426,-135.37325549097676,5.95874836433281,103,1.5324944999999985,0.6235253948912
48,-73.8107723083029,-134.09070375800437,5.309653164680339,121,1.7777738000000056,0.617290140942288
49,13.339114345744775,-131.08193195996867,5.813490291627554,104,1.7213513000000091,0.6111172395328651
50,4.747337859829088,-128.36534656357273,4.480995788834149,133,2.040620000000004,0.6050060671375365
51,-66.22125219121537,-127.14683490921277,5.108333589958733,116,1.6403540999999962,0.5989560064661611
52,-64.00228598525666,-125.93251666067516,5.643754678878853,139,2.259966299999988,0.5929664464014994
53,13.386682596804235,-123.3038525237416,4.369292107410729,160,2.024176499999996,0.5870367819374844
54,-59.37823142226706,-122.12004472556613,4.8244852801163995,90,1.3081919000000113,0.5811664141181095
55,-78.8092254893206,-121.33257528490714,4.647272733165257,134,1.9653048999999925,0.5753547499769285
56,-31.81820165727312,-119.7341043272708,4.5432240299525715,84,1.2432911000000075,0.5696012024771592
57,-43.26257313862587,-118.3924985169437,4.121387386620045,100,1.5005144999999942,0.5639051904523876
58,-10.782824597552832,-116.53715931143697,4.261564497859025,121,1.7976804999999985,0.5582661385478638
59,-29.961859528840833,-115.06978134902008,4.999141628364865,139,2.0667880000000025,0.5526834771623851
60,-17.848877967522526,-113.44943295932846,4.388531981048913,145,2.1682375999999977,0.5471566423907612
61,48.896914508477266,-110.78801742706935,4.666669858850702,137,2.037294899999992,0.5416850759668536
62,-12.36363581263079,-109.20052740103,4.544187918092523,140,2.0614398000000023,0.536268225207185
63,-132.84105366191653,-109.57577384961552,3.9116851700459674,183,2.7522289000000058,0.5309055429551132
64,-313.77593923192325,-112.76640143371407,4.751853358554074,249,3.781668300000007,0.525596487525562
65,-26.208339620561176,-111.43473894428094,4.516995023798059,81,1.2386359000000056,0.5203405226503064
66,-19.920892121004016,-110.04816550756462,4.1817906023463385,257,3.9077853999999945,0.5151371174238033
67,-38.775225840375235,-108.98439028865134,4.5852800782710785,126,1.919070000000005,0.5099857462495653
68,-33.83505119883762,-107.87925294909526,3.714702776938596,369,5.476547499999995,0.5048858887870696
69,-28.650002665378693,-106.73100294498342,4.190542049579701,118,1.8249938000000014,0.4998370298991989
70,-49.96655306762882,-105.92008223244977,3.4693793483164117,87,1.3346480000000014,0.49483865960020695
71,-53.455337752197764,-105.18114216934764,4.212445550199066,112,1.693398600000009,0.4898902730042049
72,20.249560471007335,-103.4390490771205,4.345702811598778,1000,14.846906700000005,0.48499137027416284
73,-55.39563350341158,-102.78092009665873,4.63205768702886,117,1.7493545000000097,0.4801414565714212
74,-9.58456320786189,-101.52150986843175,4.3483071731669565,168,2.543084799999974,0.475340042005707
75,-107.87091989524816,-101.6061686687893,4.248147580983503,106,1.6861154000000056,0.47058664158564995
76,-149.39781556705088,-102.23500612797696,3.7168296956914966,118,1.7867709999999875,0.4658807751697934
77,-14.104270132054976,-101.0904511150429,3.96263683912158,1000,14.968516899999997,0.4612219674180955
78,-134.91238712810258,-101.5240656793129,3.8156046841026012,181,2.744793900000019,0.45660974774391455
79,-27.151448798260617,-100.58264014917299,4.2520415517382135,156,2.3468181000000072,0.4520436502664754
80,-51.58803731274661,-99.97020761371766,4.334840069324272,181,2.722253500000022,0.44752321376381066
81,-40.92967614128053,-99.24131216344067,3.5774341771999993,174,2.6440656999999987,0.44304798162617254
82,-12.801398175989718,-98.18716687091077,3.3447430880173394,230,3.4569925000000126,0.4386175018099108
83,-47.754068512965304,-97.57953917985118,3.599934199253718,225,3.3829384999999945,0.4342313267918117
84,-39.69421494207927,-96.89042817702057,3.5533797349347624,172,2.62504340000001,0.4298890135238936
85,23.251726882245805,-95.47699105867626,3.14529098330558,174,2.6176517000000104,0.42559012338865465
86,-128.56505929511655,-95.86173603816974,3.1829792303984523,744,11.232667100000015,0.4213342221547681
87,-55.87477250389274,-95.4021157676608,3.969740220354599,206,3.183356400000008,0.41712087993322045
88,-35.263646623146784,-94.7187240728368,3.3640551799780702,146,2.2174459000000013,0.41294967113388825
89,-88.09034483697894,-94.64424790164739,3.5921217487454413,1000,15.175873300000006,0.40882017442254937
90,0.29270246056930205,-93.58939289762277,3.801509508572587,109,1.6953604999999925,0.4047319726783239
91,-84.60915687286945,-93.49070898526284,3.564802308762795,347,5.303716299999991,0.40068465295154065
92,-243.33498942475495,-95.11945116395297,4.009072976724718,987,15.057649099999992,0.39667780642202527
93,-96.3785402244984,-95.13298975600185,4.088809253308025,548,8.397189200000014,0.392711028357805
94,-61.707495644825435,-94.77739939311698,3.030158573202789,320,4.898767499999991,0.38878391807422696
95,-35.23892670985555,-94.15067862803002,3.8742086339270934,174,2.672013299999975,0.3848960788934847
96,-242.10845195139365,-95.69190543348172,3.764479490563921,552,8.462921299999948,0.38104711810454983
97,-408.91992157330014,-98.92106023904687,3.6078273024232614,336,5.142515600000024,0.37723664692350434
98,-76.35194296475147,-98.69076312400303,3.684013264139271,358,5.517233900000008,0.37346428045426927
99,1.1569579632516849,-97.68220028473782,3.7721166537644772,208,3.244081900000026,0.36972963764972655
100,-50.78500189374659,-97.21322830082791,3.424077088353019,318,4.96501440000003,0.36603234127322926
101,-27.42558759387055,-93.99161637120244,4.014794563651085,1000,15.433389900000009,0.36237201786049694
102,-143.40178438645015,-92.20827882565995,4.589906264552656,392,6.1233018999999445,0.358748297681892
103,-156.71822063082345,-92.92784692784412,3.51061426441903,541,8.20806540000001,0.35516081470507305
104,-27.11338848522189,-92.30663812274275,4.772151699975917,380,5.726345700000024,0.3516092065580223
105,-116.16946232420001,-91.59626432707462,5.398913222609214,824,12.539689199999998,0.34809311449244207
106,-33.59571329161517,-90.1482386918763,4.804823630154133,1000,15.183966599999962,0.34461218334751764
107,-218.87884094761034,-91.54311122381938,4.3222414957421815,418,6.413851299999976,0.34116606151404244
108,-178.68683504332012,-92.24030942667223,4.614825121457117,570,8.856621399999995,0.337754400898902
109,-34.58320786077104,-88.87242010329174,4.048266472781233,203,3.1643899000000033,0.334376856889913
110,-103.58894285044988,-88.14233756738835,5.3701152316629885,1000,15.080733399999986,0.33103308832101386
111,-170.63657675779015,-88.47877594542057,5.459898259881969,438,6.111930099999995,0.3277227574378037
112,31.973807395621947,-86.89419048664902,4.603392221182585,1000,13.366783999999996,0.3244455298634257
113,-10.208389233882059,-85.1039001219804,5.1107030915915965,1000,13.382197099999985,0.3212010745647914
114,-65.71020091034194,-85.14975683707759,4.484652773427292,355,4.761499000000015,0.3179890638191435
115,-16.67351813926355,-83.41227366797914,4.40116233253479,1000,13.588396499999988,0.31480917318095203
116,-101.61834197339624,-79.91756455005724,4.061436562834891,233,3.0771517999999674,0.3116610814491425
117,-158.31055279394593,-80.36586881948946,4.62018882061663,281,3.7166647999999896,0.30854447063465107
118,-217.72070403446168,-81.49706208051875,4.780960185983821,481,6.388215799999955,0.30545902592830454
119,-13.593338596719551,-80.7211285509724,5.671537423878908,1000,13.19447359999998,0.3024044356690215
120,-243.2614728153233,-82.31265371066995,5.396263645687341,441,5.8406965000000355,0.29938039131233124
121,-35.93560524409591,-80.88805519870824,5.816376159397455,104,1.392630199999985,0.2963865873992079
122,-153.6005200223278,-80.34083968920713,4.58562479142485,232,3.1233656999999653,0.29342272152521587
123,-586.6311823876654,-83.12723770618265,5.870471972431719,903,12.022085400000037,0.2904884943099637
124,-149.103566233925,-84.09746335627588,5.394527416656146,740,9.937615999999991,0.28758360936686406
