Episode,Score,Average_Score,Loss,Steps,Time,Epsilon
1,-369.27810191814234,-369.27810191814234,0.788351759314537,92,3.942972900000001,0.995
2,-165.98927752735247,-267.6336897227474,9.468983108572887,132,1.8888660999999978,0.990025
3,-70.02480442436654,-201.7640612899538,9.930643517138629,116,1.6589060999999994,0.985074875
4,-246.30649552531256,-212.89966984879348,13.99104554993166,142,2.020526199999999,0.9801495006250001
5,-458.8213521693145,-262.0840063128977,14.635592231580189,105,1.5027474000000005,0.9752487531218751
6,56.518573355347,-208.98357636819026,19.166112362983682,84,1.2041627000000013,0.9703725093562657
7,-283.81298662977815,-219.67349211984566,20.061212324294722,119,1.703516699999998,0.9655206468094844
8,-101.5140291971795,-204.9035592545124,21.967887902138184,98,1.4020371999999988,0.960693043575437
9,-199.81605060297665,-204.33828051545288,20.378062088934467,142,1.9994678000000015,0.9558895783575597
10,-198.10234573898066,-203.71468703780565,15.018539270758628,100,1.4231136000000006,0.9511101304657719
11,-138.5777768356153,-197.79314974669742,18.95258515894413,100,1.4057900000000032,0.946354579813443
12,-170.32446346378998,-195.50409255645513,19.40118369235183,106,1.5322407000000027,0.9416228069143757
13,-83.53908660138313,-186.89139979068037,20.4638156884172,89,1.2969052999999988,0.9369146928798039
14,-118.98589980582793,-182.04100693461947,18.95876197396098,74,1.0913035000000022,0.9322301194154049
15,-235.6314034335039,-185.6137000345451,17.753103137630777,97,1.3701432000000011,0.9275689688183278
16,-109.37918257343877,-180.84904269322595,19.41192824940766,113,1.6058731999999978,0.9229311239742362
17,-168.5739047432511,-180.12697575499215,18.57305164344427,82,1.1655686999999944,0.918316468354365
18,-53.15333542152379,-173.07288462535502,15.071150541305542,81,1.1690556,0.9137248860125932
19,-408.5780251892138,-185.46789202345286,16.128637441262907,98,1.4273114000000007,0.9091562615825302
20,-135.53979692394398,-182.9714872684774,21.476431037877735,95,1.3846428000000017,0.9046104802746175
21,-123.97858992508594,-180.16230168069686,25.1103785612497,83,1.2542449999999974,0.9000874278732445
22,-108.060240017639,-176.88493524146696,21.041150812341385,119,1.7172654999999963,0.8955869907338783
23,-133.0202098026248,-174.97777326586512,17.39268851371912,65,0.9452636000000041,0.8911090557802088
24,-119.98719998716348,-172.68649937925252,21.140039284350507,118,1.7006085000000013,0.8866535105013078
25,-34.827363890314274,-167.17213395969503,20.02528098015718,71,1.0314728999999971,0.8822202429488013
26,-88.0291228711234,-164.12817199474995,23.644964299937513,94,1.356991100000002,0.8778091417340573
27,-181.29978913073364,-164.76415781460122,18.9567960517274,108,1.5532680999999968,0.8734200960253871
28,-167.34240237295,-164.8562379773994,19.46416044862647,76,1.0998315999999946,0.8690529955452602
29,-118.52832776899433,-163.25872383228196,19.830977745527445,86,1.2396869999999964,0.8647077305675338
30,-233.40048365949696,-165.59678249318912,17.934985113995417,70,1.0176297000000005,0.8603841919146962
31,-154.84931109071897,-165.25008986730302,22.8339917002265,97,1.4057761000000042,0.8560822709551227
32,-83.83258419340295,-162.70579281499363,24.37057952923947,83,1.2047706999999974,0.851801859600347
33,-242.0080350781853,-165.10889106539338,21.281698168167527,106,1.5478863999999959,0.8475428503023453
34,-73.28594160841232,-162.40821608136451,21.10189885527146,119,1.7255917000000025,0.8433051360508336
35,-104.5249444148851,-160.7544083194651,24.05517281636153,101,1.471088199999997,0.8390886103705794
36,-124.08544185825747,-159.73582591776488,20.408221030800508,116,1.6750498999999905,0.8348931673187264
37,-56.103952246036954,-156.93496446717765,22.183678078096968,129,1.8704608000000036,0.8307187014821328
38,-136.54493803493114,-156.3983848242238,22.161668565538193,108,1.5572018999999955,0.8265651079747222
39,-279.49351474608767,-159.55467020683568,22.829423937093782,83,1.2110671000000082,0.8224322824348486
40,-398.991151708629,-165.54058224438052,20.258435225486757,110,1.5931400999999994,0.8183201210226743
41,-228.35636307097468,-167.07267445966332,15.412992731217415,124,1.7920873999999998,0.8142285204175609
42,-67.96527567032777,-164.71297448848867,17.17481278909577,90,1.3158332000000001,0.810157377815473
43,-69.37820797164478,-162.49588689507368,19.049111765928757,78,1.156436400000004,0.8061065909263957
